 
New experiment....
 
0.9274, Max_RMS, 0.001, 49.6746957567,MRI_Num1
0.9397, Max_RMS, 0.001, 41.77399277,MRI_Num2
0.8128, Max_RMS, 0.001, 38.8769559753,MRI_Num3
 
New experiment....
 
0.9215, Max_RMS, 0.001, 7.81719830497,MRI_Num1, Label: 1
0.917, Max_RMS, 0.001, 13.6095861074,MRI_Num1, Label: 2
0.9238, Max_RMS, 0.001, 21.3022857307,MRI_Num1, Label: 3
0.9391, Max_RMS, 0.001, 28.6338632552,MRI_Num1, Label: 4
0.9284, Max_RMS, 0.001, 41.8986672861,MRI_Num1, Label: 5
0.9407, Max_RMS, 0.001, 48.2067862731,MRI_Num1, Label: 6
0.923, Max_RMS, 0.001, 52.7540541395,MRI_Num1, Label: 7
0.9355, Max_RMS, 0.00226315789474, 6.63940774514,MRI_Num1, Label: 1
0.9386, Max_RMS, 0.00226315789474, 11.6440385396,MRI_Num1, Label: 2
0.949, Max_RMS, 0.00226315789474, 18.654963973,MRI_Num1, Label: 3
0.9471, Max_RMS, 0.00226315789474, 26.0401391111,MRI_Num1, Label: 4
0.939, Max_RMS, 0.00226315789474, 30.672628166,MRI_Num1, Label: 5
0.9396, Max_RMS, 0.00226315789474, 36.7696817543,MRI_Num1, Label: 6
0.922, Max_RMS, 0.00226315789474, 41.068514869,MRI_Num1, Label: 7
0.9348, Max_RMS, 0.00352631578947, 6.58906614067,MRI_Num1, Label: 1
0.9376, Max_RMS, 0.00352631578947, 11.7555044079,MRI_Num1, Label: 2
0.9487, Max_RMS, 0.00352631578947, 18.042216064,MRI_Num1, Label: 3
0.9471, Max_RMS, 0.00352631578947, 24.6393041754,MRI_Num1, Label: 4
0.9389, Max_RMS, 0.00352631578947, 30.0050196197,MRI_Num1, Label: 5
0.9392, Max_RMS, 0.00352631578947, 35.429629946,MRI_Num1, Label: 6
0.9228, Max_RMS, 0.00352631578947, 39.6700339498,MRI_Num1, Label: 7
0.9343, Max_RMS, 0.00478947368421, 6.57638353324,MRI_Num1, Label: 1
0.9379, Max_RMS, 0.00478947368421, 11.8480193611,MRI_Num1, Label: 2
0.9488, Max_RMS, 0.00478947368421, 18.3611826607,MRI_Num1, Label: 3
0.9465, Max_RMS, 0.00478947368421, 24.4757289961,MRI_Num1, Label: 4
0.9378, Max_RMS, 0.00478947368421, 28.9015692858,MRI_Num1, Label: 5
0.9375, Max_RMS, 0.00478947368421, 34.4106503592,MRI_Num1, Label: 6
0.9228, Max_RMS, 0.00478947368421, 38.7353302586,MRI_Num1, Label: 7
0.935, Max_RMS, 0.00605263157895, 6.44675112961,MRI_Num1, Label: 1
0.937, Max_RMS, 0.00605263157895, 11.7124044906,MRI_Num1, Label: 2
0.9485, Max_RMS, 0.00605263157895, 18.4038849756,MRI_Num1, Label: 3
0.9403, Max_RMS, 0.00605263157895, 24.5532014741,MRI_Num1, Label: 4
0.937, Max_RMS, 0.00605263157895, 29.8436986906,MRI_Num1, Label: 5
0.939, Max_RMS, 0.00605263157895, 36.1491810387,MRI_Num1, Label: 6
0.9205, Max_RMS, 0.00605263157895, 40.6027864931,MRI_Num1, Label: 7
0.9279, Max_RMS, 0.00731578947368, 6.65151925636,MRI_Num1, Label: 1
0.937, Max_RMS, 0.00731578947368, 11.736281403,MRI_Num1, Label: 2
0.9485, Max_RMS, 0.00731578947368, 18.4797924978,MRI_Num1, Label: 3
0.9461, Max_RMS, 0.00731578947368, 25.2476135083,MRI_Num1, Label: 4
0.9347, Max_RMS, 0.00731578947368, 30.0250580166,MRI_Num1, Label: 5
0.9375, Max_RMS, 0.00731578947368, 35.9782143764,MRI_Num1, Label: 6
0.9235, Max_RMS, 0.00731578947368, 40.2944624147,MRI_Num1, Label: 7
0.9289, Max_RMS, 0.00857894736842, 6.62694661304,MRI_Num1, Label: 1
0.9348, Max_RMS, 0.00857894736842, 11.7945297058,MRI_Num1, Label: 2
0.9478, Max_RMS, 0.00857894736842, 18.3402703579,MRI_Num1, Label: 3
0.9446, Max_RMS, 0.00857894736842, 24.8253577836,MRI_Num1, Label: 4
0.9347, Max_RMS, 0.00857894736842, 29.6885825813,MRI_Num1, Label: 5
0.9363, Max_RMS, 0.00857894736842, 35.6603384798,MRI_Num1, Label: 6
